CustomerId,FirstName,LastName,Email,LoyaltyPoints,CreatedAt
99c17420-704d-4fb6-a008-cf717944e56b,Lillian,Garcia,lillian.garcia17@gmail.com,320,2024-08-03 11:01:17
3bbfd677-5a0d-4849-b3eb-29d53a213fcc,Riley,Moore,riley.moore18@gmail.com,450,2025-02-04 13:13:48
526385ab-cef3-449d-8856-a674d57261fd,Aubrey,Lewis,aubrey.lewis19@gmail.com,320,2025-02-21 21:04:02
cfb17527-dbf6-47c5-ac8f-672b05814895,Grace,Hill,grace.hill20@gmail.com,0,2024-08-28 22:52:57
9c37c681-4511-417b-abd1-0b90128d8950,Zoe,Johnson,zoe.johnson21@gmail.com,650,2024-11-03 19:07:36
f3e0cff6-738b-438c-a5b8-ecf238d28c6b,Luna,Williams,luna.williams22@gmail.com,200,2025-01-07 06:30:04
d80a4b45-ccd6-4213-a1df-1c95f7f83cc6,Hazel,King,hazel.king23@gmail.com,650,2024-08-22 13:49:22
91bda199-76a1-449c-bceb-449a5a4ea550,Lillian,Harris,lillian.harris24@gmail.com,980,2025-02-05 15:48:49
e7e04c0f-34bf-44bc-addb-85d1ad0bf32a,Riley,Jones,riley.jones25@gmail.com,450,2024-07-25 05:26:56
b4142d8d-a702-4833-b27f-483254def19c,Evelyn,Wright,evelyn.wright26@gmail.com,450,2025-03-18 02:40:24
01f0a5dc-34c9-42df-b501-44413d412d9a,Eleanor,Martin,eleanor.martin27@gmail.com,980,2024-10-19 14:03:05
2bd8eb84-ef3c-40bd-861c-d99df62ddb44,Evelyn,Jones,evelyn.jones28@gmail.com,2100,2024-07-06 07:20:13
296524a4-c37a-4bb2-958d-864127cafb49,Stella,Johnson,stella.johnson29@gmail.com,75,2024-07-30 08:35:03
c46e1b82-1abb-4122-a35d-e110a9bbee0e,Lillian,Garcia,lillian.garcia30@gmail.com,1200,2025-01-18 14:56:06
5efa0649-ac0f-401c-be5e-78da95fe1137,Ava,Moore,ava.moore31@gmail.com,980,2025-01-18 10:04:57
c0b08723-15f5-45e6-9509-ebc070b9d39f,Riley,Clark,riley.clark32@gmail.com,450,2025-01-01 20:26:20
7b38b4bf-b174-474c-8fef-12f035c61997,Leah,Smith,leah.smith33@gmail.com,75,2025-02-20 18:00:04
a53841c5-6655-4fc9-a985-f30fc7d6db76,Hazel,Lewis,hazel.lewis34@gmail.com,450,2025-03-26 11:51:33
f41d1bdf-71c6-4fac-8194-c8bae3a66462,Lillian,Anderson,lillian.anderson35@gmail.com,75,2024-09-22 23:37:10
fe4290ea-4409-4cda-b91c-7f8446b95e24,Layla,Garcia,layla.garcia36@gmail.com,1500,2024-06-02 06:14:54
1dcfd56d-adb1-4e4e-b058-4ec04dccffe8,Ellie,Adams,ellie.adams37@gmail.com,450,2024-12-12 09:48:02
7b3afc07-fc29-43f7-9465-153ab9d0a02c,Stella,Garcia,stella.garcia38@gmail.com,75,2025-01-29 20:13:12
b9b84c98-8c3a-4993-870d-dee174f09b7f,Scarlett,Hill,scarlett.hill39@gmail.com,200,2024-07-30 08:33:54
97275a3b-48de-4ffd-a3d3-3e2370e52a89,Chloe,Scott,chloe.scott40@gmail.com,150,2024-12-27 11:22:36
00f99225-0227-42ad-bba7-8d25fefaf8dc,Stella,Baker,stella.baker41@gmail.com,0,2025-01-19 14:34:05
d9215fbc-b92f-4986-8d0e-ba7dfadf93e7,Grace,Harris,grace.harris42@gmail.com,0,2024-07-14 10:40:57
544f31c2-5aea-4d95-b298-d8f997f9a581,Violet,Thomas,violet.thomas43@gmail.com,500,2024-09-01 23:51:26
e40a3be9-dd88-44f0-918e-c5e1ac698a76,Olivia,Davis,olivia.davis44@gmail.com,50,2024-07-04 06:20:52
e2905d5b-b42a-4ecb-bb6c-7963485f75e9,Ellie,Harris,ellie.harris45@gmail.com,50,2025-03-23 09:19:33
40f16f4e-c3e4-46d5-b11d-9eee39d27f00,Lily,Scott,lily.scott46@gmail.com,100,2024-07-20 20:41:42
43d24b21-b6fd-4169-8164-3f35bcfd609b,Addison,Harris,addison.harris47@gmail.com,150,2024-09-11 22:30:24
3ba4b5ac-3cd4-4030-a6d1-1ec683c4fdf8,Nora,Green,nora.green48@gmail.com,1200,2024-08-22 06:06:08
e96d7ac4-1b78-44b2-a1f4-fda9a7e527ee,Violet,Lewis,violet.lewis49@gmail.com,200,2025-03-04 21:09:57
